[160,160,40], 
[120,140,80], 
[160,160,140], 
[40,160,20], 
[160,140,120], 
[140,140,40], 
[120,140,100], 
[40,40,100], 
[140,140,120], 
[40,40,20], 
[20,20,40], 
[160,20,60], 
[140,140,120], 
[160,140,80], 
[40,20,20], 
[60,160,60], 
[80,40,140], 
[120,160,120], 
[100,20,120], 
[100,140,160], 
[20,160,120], 
[20,40,120], 
[140,140,100], 
[60,20,100], 
[160,20,100], 
[60,40,80], 
[140,160,100], 
[60,160,120], 
[40,20,120], 
[40,40,120], 
[100,40,40], 
[40,160,80], 
[80,140,100], 
[60,160,80], 
[60,20,120], 
[20,20,160], 
[20,20,20], 
[160,20,60], 
[80,140,160], 
[80,40,100], 
[160,140,40], 
[60,40,160], 
[60,20,20], 
[80,20,160], 
[140,20,40], 
[60,40,120], 
[120,160,160], 
[80,20,40], 
[40,160,160], 
[140,140,120], 
[80,140,140], 
[100,40,40], 
[120,140,80], 
[80,40,20], 
[20,160,80], 
[20,40,160], 
[140,160,160], 
[40,40,40], 
[40,40,100], 
[80,160,80], 
[40,160,160], 
[40,40,120], 
[80,40,20], 
[40,40,120], 
[100,140,80], 
[20,40,40], 
[120,20,20], 
[20,40,80], 
[160,140,160], 
[120,140,140], 
[100,140,120], 
[140,160,140], 
[20,20,80], 
[60,160,100], 
[40,160,100], 
[60,40,60], 
[40,160,100], 
[160,160,100], 
[140,160,100], 
[160,20,100], 
[160,20,60], 
[120,20,100], 
[120,140,40], 
[20,20,20], 
[160,20,120], 
[120,140,80], 
[120,160,80], 
[140,140,120], 
[20,40,140], 
[100,160,20], 
[20,40,160], 
[20,160,140], 
[140,140,60], 
[160,140,140], 
[100,20,40], 
[40,40,160], 
[140,160,60], 
[40,160,20], 
[160,20,60], 
[160,160,100], 
[160,160,60], 
[120,20,120], 
[60,160,120], 
[140,20,140], 
[20,20,100], 
[140,140,20], 
[100,160,100], 
[20,40,80], 
[100,160,20], 
[20,40,40], 
[160,140,100], 
[80,40,140], 
[100,140,40], 
[40,40,80], 
[120,20,40], 
[40,40,60], 
[100,160,160], 
[140,140,120], 
[80,160,60], 
[120,160,40], 
[60,40,40], 
[80,20,40], 
[40,20,100], 
[120,20,60], 
[60,40,20], 
[120,140,140], 
[160,20,160], 
[40,20,160], 
[60,160,20], 
[120,20,160], 
[160,140,100], 
[100,160,160], 
[80,160,160], 
[100,140,20], 
[20,160,120], 
[140,160,120], 
[140,140,100], 
[60,160,160], 
[60,160,40], 
[140,140,160], 
[120,140,160], 
[80,140,160], 
[20,40,60], 
[100,40,40], 
[120,140,140], 
[60,20,60], 
[120,20,80], 
[80,20,80], 
[140,20,80], 
[60,40,100], 
[20,20,20], 
[140,160,20], 
[160,160,120], 
[140,20,100], 
[80,40,60], 
[100,160,80], 
[160,140,160], 
[20,40,40], 
[80,20,60], 
[100,20,60], 
[140,20,40], 
[140,160,20], 
[80,20,160], 
[60,40,160], 
[120,160,100], 
[120,160,120], 
[160,140,40], 
[60,20,100], 
[160,160,40], 
[140,20,140], 
[40,20,60], 
[40,160,120], 
[100,160,20], 
[80,160,20], 
[100,160,80], 
[40,160,40], 
[80,140,120], 
[60,160,80], 
[60,40,140], 
[140,140,120], 
[140,20,40], 
[40,40,40], 
[160,20,20], 
[60,20,140], 
[100,20,60], 
[40,20,160], 
[20,40,160], 
[60,20,160], 
[20,160,160], 
[20,40,60], 
[160,160,20], 
[60,40,80], 
[40,160,40], 
[20,160,20], 
[20,160,40], 
[20,160,20], 
[80,40,60], 
[80,20,80], 
[140,20,20], 
[20,160,40], 
[60,160,60], 
[100,140,120], 
[120,140,20], 
[60,160,80], 
[20,40,20], 
[120,140,80], 
[80,40,140], 
[80,140,120], 
[100,40,60], 
[100,160,60], 
[60,160,160], 
[120,160,100], 
[40,20,80], 
[100,20,60], 
[80,20,60], 
[40,40,120], 
[80,140,120], 
[40,160,100], 
[160,20,40], 
[80,40,140], 
[20,160,160], 
[60,20,160], 
[20,160,140], 
[20,40,140], 
[60,160,80], 
[20,20,140], 
[160,160,160], 
[20,40,120], 
[100,40,20], 
[20,160,140], 
[140,20,20], 
[100,40,20], 
[20,20,20], 
[140,160,120], 
[120,140,20], 
[160,20,100], 
[60,40,20], 
[100,20,80], 
[100,20,160], 
[80,40,100], 
[140,140,60], 
[20,20,120], 
[40,40,60], 
[120,160,40], 
[100,20,60], 
[20,160,160], 
[160,140,100], 
[120,140,40], 
[80,20,20], 
[160,160,120], 
[20,40,60], 
[60,160,120], 
[40,20,40], 
[40,20,80], 
[20,160,40], 
[20,20,40], 
[140,140,80], 
[120,140,80], 
[160,20,140], 
[120,140,100], 
[160,160,160], 
[100,20,20], 
[140,20,120], 
[160,20,40], 
[20,40,120], 
[80,40,120], 
[20,40,160], 
[140,160,100], 
[120,160,120], 
[100,20,80], 
[40,40,160], 
[120,20,80], 
[20,160,160], 
[80,160,20], 
[120,140,40], 
[60,160,60], 
[120,160,60], 
[100,160,140], 
[20,20,80], 
[80,160,140], 
[100,160,80], 
[20,160,20], 
[60,40,80], 
[160,160,100], 
[140,20,120], 
[100,160,40], 
[60,20,140], 
[160,160,80], 
[140,140,100], 
[20,20,100], 
[140,160,20], 
[100,20,60], 
[160,160,60], 
[160,160,140], 
[120,20,140], 
[80,20,160], 
[120,20,120], 
[80,40,140], 
[40,160,80], 
[160,160,100], 
[140,140,80], 
[140,160,80], 
