Matrix multiplication experiments started
[20,120,280], 
[260,100,220], 
[80,20,140], 
[80,20,260], 
[20,120,40], 
[40,20,140], 
[100,20,180], 
[60,20,80], 
[260,100,100], 
[80,20,200], 
[280,100,100], 
[60,20,200], 
[240,100,120], 
[60,20,60], 
[260,100,100], 
[200,100,220], 
[220,100,240], 
[280,100,220], 
[40,120,120], 
[220,100,280], 
[60,20,200], 
[80,20,120], 
[180,100,220], 
[20,20,160], 
[280,100,40], 
[220,100,60], 
[240,100,200], 
[20,20,280], 
[180,100,140], 
[100,20,180], 
[280,100,240], 
[180,100,120], 
[60,20,280], 
[220,100,20], 
[260,100,280], 
[20,120,40], 
[240,100,80], 
[40,20,100], 
[180,100,240], 
[40,120,20], 
[200,100,260], 
[40,120,20], 
[280,100,60], 
[80,20,80], 
[120,20,40], 
[140,20,200], 
[20,120,180], 
[140,20,180], 
[240,100,200], 
[140,20,200], 
[40,120,120], 
[80,20,160], 
[100,20,280], 
[220,100,200], 
[280,100,280], 
[120,20,100], 
[40,20,40], 
[100,20,40], 
[220,100,120], 
[20,120,100], 
[20,20,140], 
[80,20,100], 
[240,100,280], 
[200,100,240], 
[200,100,120], 
[240,100,20], 
[220,100,80], 
[100,20,80], 
[20,120,160], 
[40,20,80], 
[40,20,120], 
[200,100,60], 
[140,20,200], 
[80,20,100], 
[160,20,20], 
[20,20,200], 
[20,20,20], 
[80,20,200], 
[120,20,260], 
[260,100,180], 
[80,20,200], 
[20,120,200], 
[180,100,240], 
[280,100,60], 
[200,100,80], 
[260,100,20], 
[140,20,100], 
[220,100,180], 
[220,100,220], 
[200,100,140], 
[140,20,100], 
[120,20,20], 
[40,20,60], 
[60,20,200], 
[240,100,200], 
[100,20,240], 
[20,20,60], 
[60,20,200], 
[20,120,100], 
[120,20,180], 
[20,20,240], 
[100,20,140], 
[140,20,280], 
[120,20,220], 
[220,100,280], 
[240,100,280], 
[40,20,60], 
[100,20,280], 
[240,100,100], 
[60,20,180], 
[240,100,260], 
[20,120,120], 
[280,100,260], 
[140,20,200], 
[220,100,20], 
[60,20,280], 
[200,100,260], 
[20,20,120], 
[20,120,140], 
[200,100,140], 
[100,20,280], 
